2024-07-01 10:44:36 | INFO     | DF | Running on device cuda:0
2024-07-01 10:44:36 | INFO     | DF | Model loaded
2024-07-01 11:07:49 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 11:07:49 | INFO     | DF | Running on host cvlab
2024-07-01 11:07:49 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:07:49 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:07:49 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:07:49 | INFO     | DF | Running on device cuda:0
2024-07-01 11:07:49 | INFO     | DF | Model loaded
2024-07-01 11:09:30 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:09:30 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:09:30 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:09:30 | INFO     | DF | Running on device cuda:0
2024-07-01 11:09:30 | INFO     | DF | Model loaded
2024-07-01 11:09:34 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:09:34 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:09:34 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:09:34 | INFO     | DF | Running on device cuda:0
2024-07-01 11:09:34 | INFO     | DF | Model loaded
2024-07-01 11:12:51 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:12:51 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:12:51 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:12:51 | INFO     | DF | Running on device cuda:0
2024-07-01 11:12:51 | INFO     | DF | Model loaded
2024-07-01 11:14:11 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:14:11 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:14:11 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:14:11 | INFO     | DF | Running on device cuda:0
2024-07-01 11:14:11 | INFO     | DF | Model loaded
2024-07-01 11:15:52 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:15:52 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:15:52 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:15:52 | INFO     | DF | Running on device cuda:0
2024-07-01 11:15:52 | INFO     | DF | Model loaded
2024-07-01 11:20:31 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:20:31 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:20:31 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:20:31 | INFO     | DF | Running on device cuda:0
2024-07-01 11:20:31 | INFO     | DF | Model loaded
2024-07-01 11:21:29 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:21:29 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:21:29 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:21:29 | INFO     | DF | Running on device cuda:0
2024-07-01 11:21:29 | INFO     | DF | Model loaded
2024-07-01 11:21:53 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:21:53 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:21:53 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:21:53 | INFO     | DF | Running on device cuda:0
2024-07-01 11:21:53 | INFO     | DF | Model loaded
2024-07-01 11:22:30 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:22:30 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:22:30 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:22:30 | INFO     | DF | Running on device cuda:0
2024-07-01 11:22:30 | INFO     | DF | Model loaded
2024-07-01 11:23:19 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:23:19 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:23:20 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:23:20 | INFO     | DF | Running on device cuda:0
2024-07-01 11:23:20 | INFO     | DF | Model loaded
2024-07-01 11:28:15 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:28:15 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:28:15 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:28:15 | INFO     | DF | Running on device cuda:0
2024-07-01 11:28:15 | INFO     | DF | Model loaded
2024-07-01 11:28:50 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:28:50 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:28:50 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:28:50 | INFO     | DF | Running on device cuda:0
2024-07-01 11:28:50 | INFO     | DF | Model loaded
2024-07-01 11:29:13 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:29:13 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:29:13 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:29:13 | INFO     | DF | Running on device cuda:0
2024-07-01 11:29:13 | INFO     | DF | Model loaded
2024-07-01 11:29:30 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:29:30 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:29:30 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:29:30 | INFO     | DF | Running on device cuda:0
2024-07-01 11:29:30 | INFO     | DF | Model loaded
2024-07-01 11:30:07 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:30:07 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:30:07 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:30:07 | INFO     | DF | Running on device cuda:0
2024-07-01 11:30:07 | INFO     | DF | Model loaded
2024-07-01 11:30:45 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:30:45 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:30:45 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:30:45 | INFO     | DF | Running on device cuda:0
2024-07-01 11:30:45 | INFO     | DF | Model loaded
2024-07-01 11:31:21 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:31:21 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:31:21 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:31:21 | INFO     | DF | Running on device cuda:0
2024-07-01 11:31:21 | INFO     | DF | Model loaded
2024-07-01 11:31:46 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:31:46 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:31:46 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:31:46 | INFO     | DF | Running on device cuda:0
2024-07-01 11:31:46 | INFO     | DF | Model loaded
2024-07-01 11:33:09 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:33:09 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:33:10 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:33:10 | INFO     | DF | Running on device cuda:0
2024-07-01 11:33:10 | INFO     | DF | Model loaded
2024-07-01 11:34:13 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:34:13 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:34:14 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:34:14 | INFO     | DF | Running on device cuda:0
2024-07-01 11:34:14 | INFO     | DF | Model loaded
2024-07-01 11:34:26 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:34:26 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:34:26 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:34:26 | INFO     | DF | Running on device cuda:0
2024-07-01 11:34:26 | INFO     | DF | Model loaded
2024-07-01 11:34:55 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:34:55 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:34:55 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:34:55 | INFO     | DF | Running on device cuda:0
2024-07-01 11:34:55 | INFO     | DF | Model loaded
2024-07-01 11:35:15 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 11:35:15 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 11:35:16 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 11:35:16 | INFO     | DF | Running on device cuda:0
2024-07-01 11:35:16 | INFO     | DF | Model loaded
2024-07-01 14:31:00 | INFO     | DF | Running on torch 2.3.0+cu121
2024-07-01 14:31:00 | INFO     | DF | Running on host cvlab
2024-07-01 14:31:00 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 14:31:00 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 14:31:01 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 14:31:01 | INFO     | DF | Running on device cuda:0
2024-07-01 14:31:01 | INFO     | DF | Model loaded
2024-07-01 20:36:09 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 20:36:09 | INFO     | DF | Initializing model `deepfilternet2`
2024-07-01 20:36:09 | INFO     | DF | Found checkpoint ./DeepFilterNet2/checkpoints/model_96.ckpt.best with epoch 96
2024-07-01 20:36:09 | INFO     | DF | Running on device cuda:0
2024-07-01 20:36:09 | INFO     | DF | Model loaded
2024-07-01 20:37:37 | INFO     | DF | Loading model settings of DeepFilterNet2
2024-07-01 20:37:37 | INFO     | DF | Initializing model `deepfilternet2`
